City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Sakakah,SA,29.9697,40.2064,45.97,75,1,7.78,clear sky
270,Road Town,VG,18.4167,-64.6167,78.89,89,40,6.91,scattered clouds
271,Lowestoft,GB,52.4752,1.7516,41.25,86,92,11.01,overcast clouds
272,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,87,83,17.63,broken clouds
273,Puerto Cabezas,NI,14.0351,-83.3888,80.56,57,20,20.71,few clouds
274,Yagodnoye,RU,62.55,149.6667,-26.32,98,100,3.4,overcast clouds
275,Kodiak,US,57.79,-152.4072,38.71,93,100,20.71,light rain
276,Alice Springs,AU,-23.7,133.8833,88.21,40,2,3.0,clear sky
277,Apricena,IT,41.7839,15.4437,48.02,81,88,13.09,overcast clouds
278,Kavaratti,IN,10.5669,72.642,79.36,72,73,11.34,broken clouds
279,Ugoofaaru,MV,5.6667,73.0,79.81,74,83,9.42,broken clouds
280,Khandyga,RU,62.6667,135.6,-48.39,97,100,0.65,overcast clouds
281,Klaksvik,FO,62.2266,-6.589,31.12,55,96,24.45,overcast clouds
282,Neuquen,AR,-38.9516,-68.0591,87.69,19,0,6.91,clear sky
283,Harper,LR,4.375,-7.7169,79.56,79,4,6.73,clear sky
284,Cidreira,BR,-30.1811,-50.2056,72.55,85,100,9.86,overcast clouds
285,Ahipara,NZ,-35.1667,173.1667,70.54,58,3,7.99,clear sky
286,Le Port,RE,-20.9373,55.2919,79.25,55,20,8.32,few clouds
287,Boo,SE,59.3333,18.2833,38.98,91,100,12.66,light rain
288,Santiago Del Estero,AR,-27.7951,-64.2615,88.77,28,5,6.64,clear sky
289,Namibe,AO,-15.1961,12.1522,72.09,81,84,3.76,light rain
290,Tromso,NO,69.6496,18.957,26.38,68,0,3.44,clear sky
291,Baruun-Urt,MN,46.6806,113.2792,-9.99,96,37,7.92,scattered clouds
292,Yamada,JP,39.4667,141.95,37.58,80,100,4.7,overcast clouds
293,Alghero,IT,40.5589,8.3181,55.49,76,20,4.61,few clouds
294,Nyurba,RU,63.2842,118.3319,-73.44,100,88,1.45,overcast clouds
295,Nauta,PE,-4.5061,-73.5757,73.81,98,100,1.92,overcast clouds
296,Bireun,ID,5.203,96.7009,76.73,86,98,4.18,overcast clouds
297,Pangai,TO,-19.8,-174.35,86.11,74,40,6.91,scattered clouds
298,Fernie,CA,49.5,-115.0687,39.29,95,100,3.4,overcast clouds
299,Pabbi,PK,34.0106,71.7989,43.48,26,3,3.76,clear sky
300,Buraydah,SA,26.326,43.975,52.25,64,90,10.16,overcast clouds
301,Martapura,ID,-3.4167,114.85,75.29,100,40,2.3,light rain
302,Nanortalik,GL,60.1432,-45.2371,23.02,88,100,9.19,light snow
303,Las Navas,PH,12.3392,125.0313,75.31,98,97,0.92,overcast clouds
304,Wawa,NG,9.9022,4.4192,77.59,25,21,5.82,few clouds
305,Guapore,BR,-28.8456,-51.8903,71.71,99,79,2.57,broken clouds
306,Saint-Pierre,RE,-21.3393,55.4781,78.91,69,0,6.91,clear sky
307,Svetlogorsk,BY,52.6333,29.7333,31.95,93,100,15.77,overcast clouds
308,Chicama,PE,-7.8447,-79.1469,68.54,64,100,6.73,overcast clouds
