City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Santa Cruz,BO,80.06,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
150,Eureka,US,52.2,scattered clouds,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
151,Yanam,IN,69.91,clear sky,16.7333,82.2167,No hotel found
153,Vetluzhskiy,RU,32.68,light snow,58.3902,45.4654,Гостиница Финская
154,Gat,IL,61.48,overcast clouds,31.61,34.7642,No hotel found
157,Lebu,CL,57.02,clear sky,-37.6167,-73.65,No hotel found
159,Hammerfest,NO,36.05,broken clouds,70.6634,23.6821,Thon Hotel Hammerfest
160,Ambon,ID,86.14,few clouds,-3.6954,128.1814,Hotel Hero
161,Banyo,CM,64.85,clear sky,6.75,11.8167,No hotel found
162,Ponta Do Sol,PT,64.71,overcast clouds,32.6667,-17.1,Estalagem Ponta do Sol
163,Suratgarh,IN,50.31,clear sky,29.3167,73.9,The Golden Inn
164,Los Llanos De Aridane,ES,62.35,clear sky,28.6585,-17.9182,Valle Aridane
166,Fuyang,CN,36.48,broken clouds,32.9,115.8167,天诚宾馆
167,Mehamn,NO,33.71,light snow,71.0357,27.8492,Mehamn Arctic hotell
168,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
169,Xining,CN,15.82,broken clouds,36.6167,101.7667,Qinghai hotel
170,Manta,EC,78.58,broken clouds,-0.95,-80.7333,La Gaviota
172,Broken Hill,AU,96.51,few clouds,-31.95,141.4333,Ibis Styles
173,Vigrestad,NO,36.97,overcast clouds,58.5667,5.7,No hotel found
174,Korla,CN,17.74,clear sky,41.7597,86.1469,Silver Star Hotel
175,Chuy,UY,72.73,light rain,-33.6971,-53.4616,Alerces
176,Kodinar,IN,64.74,clear sky,20.7903,70.7031,No hotel found
177,Wageningen,NL,53.69,broken clouds,51.9667,5.6667,Hotel De Wereld
178,Hukuntsi,BW,75.04,scattered clouds,-24.0,21.75,Entabeni Hotel
179,Bethel,US,44.94,few clouds,41.3712,-73.414,Hampton Inn Danbury
180,Yumen,CN,15.4,broken clouds,40.2833,97.2,No hotel found
181,Kasongo,CD,68.11,light rain,-4.45,26.6667,No hotel found
182,Samarai,PG,83.89,overcast clouds,-10.6167,150.6667,No hotel found
183,Nome,US,19.47,clear sky,64.5011,-165.4064,No hotel found
184,Santa Rosa,PH,83.01,broken clouds,14.3122,121.1114,JARS RESORT
186,Alice Springs,AU,89.15,overcast clouds,-23.7,133.8833,Aurora Alice Springs
187,Abu Dhabi,AE,68.97,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
188,Riyadh,SA,50.14,overcast clouds,24.6877,46.7219,White Palace Hotel
189,Aitape,PG,84.67,broken clouds,-3.1374,142.3475,No hotel found
190,Seaford,GB,47.08,overcast clouds,50.7714,0.1027,Wellington Hotel
191,Fortuna,US,51.93,clear sky,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
192,Rawah,IQ,48.79,overcast clouds,34.4816,41.9093,No hotel found
193,Champerico,GT,80.06,overcast clouds,14.3,-91.9167,Hotel y Restaurante El Submarino
194,Te Anau,NZ,70.84,broken clouds,-45.4167,167.7167,Lakeside Motels & Apartments
195,Murud,IN,67.91,clear sky,18.3258,72.965,No hotel found
196,Salina,US,46.53,clear sky,38.8403,-97.6114,Baymont
197,San Ramon,US,60.12,clear sky,37.7799,-121.978,Hyatt House
198,Baglung,NP,45.82,broken clouds,28.2719,83.5898,Hotel Aarati
199,Ouadda,CF,70.18,clear sky,8.0777,22.4007,No hotel found
200,Codrington,AU,69.69,few clouds,-38.2667,141.9667,No hotel found
201,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,No hotel found
202,Anstruther,GB,35.69,broken clouds,56.2231,-2.7023,The Royal Hotel
203,Takoradi,GH,78.22,clear sky,4.8845,-1.7554,Hillcrest
204,Port Keats,AU,81.55,overcast clouds,-14.25,129.55,No hotel found
205,Xinyu,CN,45.21,broken clouds,27.8043,114.9334,WangJiangBang
207,Filadelfia,US,49.15,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
208,Souillac,MU,71.98,few clouds,-20.5167,57.5167,Hotel SkylineInn
209,Leo,BF,65.07,clear sky,11.1,-2.1,Auberge le prestige
210,Karratha,AU,84.49,scattered clouds,-20.7377,116.8463,Karratha International Hotel
211,Omboue,GA,77.56,light rain,-1.5746,9.2618,Georges Faustin Aurat
212,Klyavlino,RU,30.2,light snow,54.2649,52.0267,No hotel found
213,Gizo,SB,84.22,overcast clouds,-8.103,156.8419,Gizo Hotel
214,Nanortalik,GL,10.08,clear sky,60.1432,-45.2371,Kap Farvel
215,Coihaique,CL,51.75,light rain,-45.5752,-72.0662,No hotel found
216,Bilma,NE,57.74,clear sky,18.6853,12.9164,No hotel found
217,Miri,MY,76.15,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
218,Nishihara,JP,63.68,broken clouds,26.1842,127.7558,ユインチホテル南城
219,Clonakilty,IE,38.41,few clouds,51.6231,-8.8706,Imperial Hotel
222,Sa Kaeo,TH,69.44,overcast clouds,13.75,102.3333,No hotel found
223,Chitral,PK,26.98,clear sky,35.8462,71.7858,Chitral Inn
224,Taltal,CL,66.36,scattered clouds,-25.4,-70.4833,Hostería Taltal
225,Redmond,US,46.51,scattered clouds,47.674,-122.1215,Residence Inn Seattle East/Redmond
226,Lata,PT,50.92,broken clouds,40.1629,-8.3327,No hotel found
227,Poum,NC,78.44,broken clouds,-20.2333,164.0167,No hotel found
228,Eberswalde,DE,56.3,overcast clouds,52.8349,13.8195,Hotel am Markt
229,California City,US,47.98,overcast clouds,35.1258,-117.9859,Best Western California City Inn & Suites
230,Vanimo,PG,84.45,scattered clouds,-2.6741,141.3028,CBC Guesthouse
231,Araguaina,BR,74.98,overcast clouds,-7.1911,-48.2072,No hotel found
232,Chapada Dos Guimaraes,BR,73.06,overcast clouds,-15.4606,-55.7497,Pousada Rios
233,Yashan,CN,61.97,overcast clouds,22.1975,109.9419,No hotel found
234,Siilinjarvi,FI,26.62,clear sky,63.0833,27.6667,Hotelli Sandels
235,Semenivka,UA,42.6,overcast clouds,52.1783,32.5818,No hotel found
236,Bima,ID,79.05,overcast clouds,-8.4667,118.7167,No hotel found
237,Sevierville,US,57.43,clear sky,35.8681,-83.5618,Baymont
238,Mazatlan,MX,75.16,clear sky,23.2167,-106.4167,Mona Inn
239,Grand Gaube,MU,72.37,scattered clouds,-20.0064,57.6608,Coco Villa
240,Saldanha,ZA,65.88,clear sky,-33.0117,17.9442,Hoedjesbaai
241,Barra Patuca,HN,77.34,broken clouds,15.8,-84.2833,No hotel found
243,Manicore,BR,74.41,overcast clouds,-5.8092,-61.3003,No hotel found
244,Ocna Sibiului,RO,37.62,mist,45.8833,24.05,No hotel found
245,Clarence Town,AU,79.61,clear sky,-32.5833,151.7833,Erringhi Hotel
246,Tay Ninh,VN,70.79,broken clouds,11.3,106.1,Nhà khách Hoa Hồng
247,Vrangel,RU,11.77,clear sky,42.7297,133.0839,No hotel found
248,Mar Del Plata,AR,68.09,light rain,-38.0023,-57.5575,Nuevo Ostende
249,Katsuura,JP,46.62,clear sky,35.1333,140.3,潮騒の宿
250,Hofn,IS,23.9,broken clouds,64.2539,-15.2082,Guesthouse Dyngja
251,Brainerd,US,23.29,mist,46.358,-94.2008,Days Inn & Suites by Wyndham Baxter Brainerd Area
252,Almaznyy,RU,43.2,overcast clouds,48.0448,40.045,No hotel found
253,Chakradharpur,IN,54.77,clear sky,22.7,85.6333,No hotel found
254,Jalpan,MX,76.41,broken clouds,21.2333,-99.4833,Posada Karina
255,Raudeberg,NO,34.47,broken clouds,61.9875,5.1352,No hotel found
256,Pindobacu,BR,73.69,overcast clouds,-10.7417,-40.3608,No hotel found
257,Kampene,CD,67.41,light rain,-3.6,26.6667,No hotel found
258,Hervey Bay,AU,76.17,broken clouds,-25.2986,152.8535,Hervey Bay Hotel
259,Kruisfontein,ZA,62.89,few clouds,-34.0033,24.7314,No hotel found
260,Komsomolskiy,UZ,32.72,mist,40.4272,71.7189,"Hotel ""Ikat House"""
261,Batticaloa,LK,75.88,overcast clouds,7.7102,81.6924,Lake View Hotel
262,Valparaiso,CL,73.04,clear sky,-33.0393,-71.6273,Ibis Hotel
263,Bemidji,US,19.17,mist,47.4736,-94.8803,Hampton Inn and Suites
264,Kathmandu,NP,44.82,mist,27.7167,85.3167,Aryatara Kathmandu Hotel
265,Seoul,KR,22.57,clear sky,37.5683,126.9778,뉴국제호텔
266,Bagamoyo,TZ,76.19,few clouds,-6.4333,38.9,Oceanic Bay Resort
267,Nacozari,MX,73.06,clear sky,25.3366,-108.2574,No hotel found
268,Ulladulla,AU,77.23,clear sky,-35.35,150.4667,Hotel Marlin
269,Bubaque,GW,78.91,broken clouds,11.2833,-15.8333,Chez Julio
270,Arman,RU,14.02,overcast clouds,59.7,150.1667,No hotel found
271,Carnot,CF,70.75,clear sky,4.9409,15.8665,No hotel found
272,Dzilam Gonzalez,MX,77.59,broken clouds,21.2833,-88.9333,No hotel found
273,Galle,LK,74.28,overcast clouds,6.0367,80.217,Jungle Hostel Villa
274,Bolivar,US,57.99,broken clouds,37.6145,-93.4105,Best Western Plus
275,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,فندق أدرار
276,Olafsvik,IS,36.81,overcast clouds,64.8945,-23.7142,North Star Hotel Snæfellsnes
278,Makakilo City,US,81.45,overcast clouds,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
279,Canico,PT,64.71,moderate rain,32.6333,-16.85,Dom Pedro
280,Albenga,IT,58.06,overcast clouds,44.0529,8.216,Hotel Marisa
281,Kentau,KZ,29.39,overcast clouds,43.5206,68.5094,No hotel found
282,Pashiya,RU,12.74,overcast clouds,58.4324,58.2562,No hotel found
283,Great Falls,US,36.41,clear sky,47.5002,-111.3008,Hotel Arvon
287,Khromtau,KZ,26.89,overcast clouds,50.2503,58.4347,Спорт
288,Rafsanjan,IR,37.54,broken clouds,30.4067,55.9939,هتل جهانگردی
289,Praia,CV,73.76,overcast clouds,14.9215,-23.5087,Casa Sodadi
290,Tessalit,ML,58.78,clear sky,20.1986,1.0114,No hotel found
291,Muros,ES,48.69,broken clouds,42.7762,-9.0603,Pensión Ría de Muros
292,Nhamunda,BR,75.7,overcast clouds,-2.1861,-56.7131,No hotel found
293,Kasempa,ZM,63.54,moderate rain,-13.4584,25.8338,Kasmpa Council Guest House
294,Olinda,BR,74.93,mist,-8.0089,-34.8553,Fidji Motel
295,Vila,PT,38.28,broken clouds,42.0304,-8.1588,Hotel Miracastro
296,Tongzi,CN,44.91,overcast clouds,28.7829,105.0877,No hotel found
297,Ambilobe,MG,72.43,broken clouds,-13.2,49.05,Hôtel National
298,Khandbari,NP,46.29,scattered clouds,27.3747,87.2039,Guesthouse
299,Pilar,BR,73.33,broken clouds,-9.5972,-35.9567,No hotel found
301,Khuzhir,RU,4.98,scattered clouds,53.1939,107.3397,Усадьба Набаймар
302,Remontnoye,RU,45.99,overcast clouds,46.5614,43.6501,No hotel found
303,Nipawin,CA,12.24,overcast clouds,53.3668,-104.0009,No hotel found
304,Sergeyevka,KZ,4.6,overcast clouds,53.88,67.4158,"Гостиница ""Шанырак"""
305,Jalu,LY,54.1,broken clouds,29.0331,21.5482,فندق جالو السياحي
306,Yenagoa,NG,74.52,scattered clouds,4.9247,6.2642,Peretimi Hotels Ltd.
307,South Lyon,US,44.76,overcast clouds,42.4606,-83.6516,No hotel found
308,Avera,US,56.71,scattered clouds,33.194,-82.5271,No hotel found
309,Namwala,ZM,63.82,moderate rain,-15.7504,26.4384,No hotel found
310,Nouadhibou,MR,69.78,clear sky,20.931,-17.0347,Hotel valencia
312,Noumea,NC,84.0,scattered clouds,-22.2763,166.4572,Hotel Gondwana
313,Mamallapuram,IN,75.25,few clouds,12.6264,80.1722,Radisson Temple Bay
314,Esperance,AU,64.51,clear sky,-33.8667,121.9,Hospitality
315,Brumadinho,BR,70.32,moderate rain,-20.1433,-44.1997,Estrada Real Palace Hotel
316,Quballat,TN,50.25,few clouds,36.5418,9.6633,No hotel found
317,Prainha,BR,74.44,overcast clouds,-1.8,-53.48,No hotel found
318,Hata,IN,51.94,clear sky,26.7461,83.7403,No hotel found
319,Madawaska,US,32.72,overcast clouds,47.3561,-68.3288,Sheraton
320,Broome,US,42.85,overcast clouds,42.2506,-75.833,No hotel found
321,Unai,BR,71.38,overcast clouds,-16.3575,-46.9061,Hotel Fazenda Curva do Rio
322,Tateyama,JP,49.1,few clouds,34.9833,139.8667,No hotel found
323,Birjand,IR,23.47,clear sky,32.8663,59.2211,مهمانسرای جهانگردی بیرجند
324,Zomba,MW,63.19,clear sky,-15.386,35.3188,Zomba City Council Lodge
325,Lawrenceburg,US,54.18,few clouds,38.0373,-84.8966,No hotel found
326,Bulancak,TR,40.82,clear sky,40.9372,38.2291,elit otel pansiyon
328,Manbij,SY,41.99,clear sky,36.5281,37.9549,فندق منبج
329,Faanui,PF,80.69,broken clouds,-16.4833,-151.75,Oa Oa Lodge
330,Santa Fe,AR,73.99,light rain,-31.6333,-60.7,Intersur Hotel
332,Teya,RU,8.56,light snow,60.3778,92.6267,No hotel found
333,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Kununurra Country Club Resort
335,Ghanzi,BW,71.28,light rain,-21.5667,21.7833,Ghanzi farmhouse
336,Kawalu,ID,73.9,overcast clouds,-7.3817,108.2082,Hotel Surya
337,Olavarria,AR,61.75,overcast clouds,-36.8927,-60.3225,Santa Rosa Hotel
339,Pochutla,MX,82.22,broken clouds,15.7432,-96.4661,Posada San Jose
341,Kaoma,ZM,64.36,moderate rain,-14.7833,24.8,Pumulo Pardway Lodge
342,Kim,TJ,31.82,broken clouds,40.208,70.4688,No hotel found
343,Olgina,EE,31.53,clear sky,59.3953,28.1253,Europa
344,Devils Lake,US,8.94,overcast clouds,48.1128,-98.8651,No hotel found
345,Maungaturoto,NZ,70.03,overcast clouds,-36.1,174.3667,Maungaturoto Historic Hotel
346,Yeppoon,AU,83.98,scattered clouds,-23.1333,150.7333,Blossom's on Seaspray
347,Bairiki,KI,86.0,scattered clouds,1.3292,172.9752,Marry's Motel
348,Keti Bandar,PK,68.77,clear sky,24.1447,67.4497,No hotel found
349,Sitka,US,44.49,light rain,57.0531,-135.33,Aspen Suites Hotel
350,Adrar,MR,63.79,clear sky,20.5022,-10.0711,No hotel found
351,Ankang,CN,37.78,broken clouds,32.68,109.0172,金友商务酒店
352,Erenhot,CN,6.48,clear sky,43.6475,111.9767,Oulen hotel
353,Saint-Joseph,RE,73.78,light rain,-21.3667,55.6167,No hotel found
354,Wewak,PG,82.49,overcast clouds,-3.5534,143.6268,Village Inn
356,Biak,ID,80.73,overcast clouds,-0.9131,122.8766,No hotel found
357,Palmela,PT,54.84,few clouds,38.569,-8.9013,Casa da Atalaia
358,Ouidah,BJ,76.86,scattered clouds,6.3631,2.0851,l'Ermitage 2
360,Maragogi,BR,76.69,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
361,Palmeira Das Missoes,BR,76.06,broken clouds,-27.8994,-53.3136,Hotel de Carli
362,Sheltozero,RU,24.46,scattered clouds,61.3667,35.3667,No hotel found
363,Bolshaya Martynovka,RU,47.05,overcast clouds,47.271,41.6679,No hotel found
364,Tomatlan,MX,78.31,clear sky,19.9333,-105.25,Hotel Hacienda Vieja Tomatlan
365,Leirvik,NO,35.64,overcast clouds,59.7798,5.5005,Almaas hotell Stord
366,Marrakesh,MA,55.47,clear sky,31.6315,-8.0083,No hotel found
367,Constitucion,CL,59.5,clear sky,-35.3333,-72.4167,Hostal Alameda
370,Marawi,PH,70.25,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
371,Granby,CA,35.53,overcast clouds,45.4001,-72.7324,La Maison Collins
373,Jizan,SA,77.94,scattered clouds,17.3333,42.6667,No hotel found
374,Lorengau,PG,84.24,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
375,Bagotville,AU,80.64,scattered clouds,-28.9833,153.4167,No hotel found
376,Arieseni,RO,42.8,few clouds,46.4833,22.7667,Casa de Vis
377,Hasaki,JP,41.29,few clouds,35.7333,140.8333,大新旅館
379,Wanning,CN,64.54,overcast clouds,18.8003,110.3967,No hotel found
380,Bastia,FR,57.29,overcast clouds,42.6667,9.3333,Adonis Saint Florent
381,Colac,AU,82.17,scattered clouds,-38.3333,143.5833,No hotel found
382,Ardakan,IR,39.16,clear sky,32.31,54.0175,هتل رستوران باغ سرای اردکان
383,Rocha,UY,75.9,overcast clouds,-34.4833,-54.3333,Hotel Municipal
384,Buraydah,SA,50.45,moderate rain,26.326,43.975,دنا للوحدات السكنية
385,Bailen,ES,60.13,overcast clouds,38.0964,-3.7779,Gran Batalla
387,Male,MV,78.75,few clouds,4.1748,73.5089,Champa Central Hotel
388,Rafai,CF,70.34,clear sky,4.95,23.9167,No hotel found
389,Mahon,ES,57.76,scattered clouds,39.8885,4.2658,Eurohotel
390,Bowen,AU,83.35,broken clouds,-20.0167,148.2333,Whitsunday Sands Resort
391,Dunedin,NZ,59.81,clear sky,-45.8742,170.5036,Scenic Hotel Dunedin City
